bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
154386.0,Medieval Academy,2014.0,2,5,30,8,3545,6.95,1016,1.81,5281.0
354.0,Stick 'Em,1993.0,3,8,60,10,2934,7.03,1017,1.94,4187.0
12995.0,Dungeon Twister,2004.0,2,2,60,11,5754,6.82,1018,2.89,7595.0
157526.0,Viceroy,2014.0,1,4,60,13,5074,6.83,1019,2.65,9015.0
1261.0,Medina,2001.0,3,4,60,10,2941,7.04,1020,2.79,3797.0
102548.0,Dungeon Fighter,2011.0,1,6,60,14,5853,6.82,1021,1.75,8115.0
279254.0,Ecos: First Continent,2019.0,2,6,75,14,2365,7.18,1022,2.62,3457.0
42452.0,Rattus,2010.0,2,4,45,10,5676,6.79,1023,2.06,5846.0
180899.0,Ponzi Scheme,2015.0,3,5,90,12,2321,7.19,1024,2.47,2643.0
82168.0,Escape from the Aliens in Outer Space,2010.0,2,8,45,12,3878,6.93,1025,1.87,6838.0
285984.0,Last Bastion,2019.0,1,4,45,14,1468,7.67,1026,2.54,2892.0
11971.0,Cockroach Poker,2004.0,2,6,20,8,8657,6.71,1027,1.12,13790.0
244536.0,Tiny Epic Zombies,2018.0,1,5,45,14,3705,7.03,1028,2.43,11355.0
53093.0,Heroes of Normandie,2014.0,2,2,60,14,1931,7.49,1029,2.74,4439.0
131014.0,Carcassonne: Winter Edition,2012.0,2,5,40,8,1674,7.49,1030,1.83,3329.0
1115.0,Poker,1810.0,2,10,60,12,9276,6.72,1031,2.45,7978.0
1159.0,Evo,2001.0,3,5,120,12,4375,6.87,1032,2.34,3929.0
43443.0,Castle Panic,2009.0,1,6,60,10,14286,6.65,1033,1.66,23966.0
134253.0,Hostage Negotiator,2015.0,1,1,20,13,4205,6.9,1034,1.99,8152.0
10.0,Elfenland,1998.0,2,6,60,10,8086,6.71,1035,2.16,9802.0
160610.0,Thunderbirds,2015.0,1,4,60,10,1694,7.56,1036,2.49,3440.0
1540.0,BattleTech,1985.0,2,20,90,12,3369,7.05,1037,3.41,4968.0
111124.0,Dark Moon,2011.0,3,7,75,12,3117,7.01,1038,2.35,4482.0
119591.0,Rialto,2013.0,2,5,45,10,3750,6.91,1039,2.54,4502.0
161882.0,Irish Gauge,2014.0,3,5,60,12,1738,7.38,1040,2.41,3140.0
191876.0,Ulm,2016.0,2,4,75,10,2756,7.06,1041,2.68,3908.0
206051.0,Insider,2016.0,4,8,15,9,2689,7.08,1042,1.07,4736.0
202583.0,Rise of Tribes,2018.0,2,4,60,10,2207,7.26,1043,2.16,4424.0
30618.0,Eat Poop You Cat,0.0,3,99,20,0,1589,7.45,1044,1.11,803.0
232918.0,Fallout,2017.0,1,4,180,14,5435,6.94,1045,2.99,11828.0
12495.0,Fire & Axe: A Viking Saga,2004.0,2,5,90,12,3021,7.0,1046,2.67,4330.0
143405.0,Sylvion,2015.0,1,2,30,10,2575,7.11,1047,2.05,6114.0
226520.0,Exit: The Game - The Sinister Mansion,2018.0,1,4,90,12,1595,7.45,1048,2.61,3446.0
233020.0,Fireball Island: The Curse of Vul-Kar,2018.0,2,4,60,7,4175,6.93,1049,1.52,9598.0
264052.0,Circadians: First Light,2019.0,1,4,90,12,1280,7.75,1050,3.43,2515.0
16986.0,Ubongo,2003.0,1,4,25,8,7804,6.71,1051,1.54,9793.0
113873.0,"The Hunters: German U-Boats at War, 1939-43",2013.0,1,2,120,12,1407,7.78,1052,2.58,3538.0
218421.0,Street Masters,2018.0,1,4,120,14,980,8.25,1053,2.88,1875.0
172931.0,Outfoxed!,2014.0,2,4,15,5,2386,7.19,1054,1.1,4972.0
61692.0,Axis & Allies Europe 1940,2010.0,2,6,360,12,1877,7.56,1055,3.5,3797.0
